epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,3492.37,0.48324,0.26955,0.9251,0.90907,0.89963,0.92226,0.7205,0.50141,0.24976,0.89938,0.004951,0.004951,0.004951
104,3526.26,0.48708,0.27296,0.92933,0.90854,0.90053,0.92289,0.71892,0.5014,0.24975,0.90051,0.0049015,0.0049015,0.0049015
105,3560.12,0.48672,0.2717,0.92594,0.9079,0.90152,0.92213,0.71913,0.50162,0.24935,0.90118,0.004852,0.004852,0.004852
106,3594,0.48185,0.27009,0.92615,0.90777,0.90051,0.9217,0.71997,0.50178,0.24921,0.9007,0.0048025,0.0048025,0.0048025
107,3627.77,0.48289,0.2687,0.92004,0.90673,0.90142,0.92103,0.71916,0.50196,0.2483,0.89965,0.004753,0.004753,0.004753
108,3661.52,0.48169,0.26801,0.92462,0.90449,0.90151,0.92113,0.71951,0.50197,0.24791,0.89968,0.0047035,0.0047035,0.0047035
109,3695.31,0.48212,0.26882,0.92581,0.90858,0.90504,0.92363,0.71929,0.50224,0.24781,0.89984,0.004654,0.004654,0.004654
110,3729.01,0.48179,0.26858,0.92004,0.90592,0.90248,0.92188,0.71984,0.50206,0.24751,0.89909,0.0046045,0.0046045,0.0046045
111,3762.8,0.48014,0.2654,0.92294,0.90516,0.90157,0.9221,0.72091,0.50187,0.24716,0.89856,0.004555,0.004555,0.004555
112,3796.65,0.47938,0.26568,0.92337,0.9059,0.90183,0.92236,0.72084,0.50196,0.24702,0.89887,0.0045055,0.0045055,0.0045055
113,3830.52,0.48141,0.26745,0.92376,0.9058,0.90257,0.92177,0.72107,0.5016,0.2461,0.89861,0.004456,0.004456,0.004456
114,3864.3,0.47995,0.26631,0.92144,0.90523,0.90037,0.92225,0.72091,0.50144,0.24575,0.89825,0.0044065,0.0044065,0.0044065
115,3897.9,0.47769,0.26526,0.91852,0.90592,0.90219,0.92271,0.72064,0.50145,0.24538,0.89774,0.004357,0.004357,0.004357
116,3931.35,0.47774,0.26563,0.92342,0.90787,0.90302,0.92317,0.72076,0.50146,0.24562,0.89753,0.0043075,0.0043075,0.0043075
117,3964.91,0.47799,0.26308,0.92309,0.90811,0.90114,0.92384,0.72043,0.50139,0.24591,0.89748,0.004258,0.004258,0.004258
118,3998.64,0.47845,0.26497,0.9228,0.90759,0.90222,0.92382,0.7198,0.50117,0.24531,0.89744,0.0042085,0.0042085,0.0042085
119,4032.15,0.47697,0.26203,0.92439,0.90659,0.90405,0.92388,0.72094,0.50096,0.24503,0.89723,0.004159,0.004159,0.004159
120,4065.75,0.47587,0.26256,0.91908,0.90733,0.90392,0.92394,0.72074,0.50093,0.24508,0.89701,0.0041095,0.0041095,0.0041095
121,4099.62,0.47552,0.26252,0.91833,0.90732,0.9023,0.92351,0.72065,0.5009,0.24489,0.89683,0.00406,0.00406,0.00406
122,4133.1,0.47469,0.26167,0.91783,0.90707,0.90236,0.92356,0.72166,0.5007,0.24491,0.89616,0.0040105,0.0040105,0.0040105
123,4166.83,0.47095,0.25893,0.9164,0.90702,0.90206,0.92391,0.72182,0.50098,0.24494,0.89589,0.003961,0.003961,0.003961
124,4200.34,0.474,0.25935,0.91746,0.90553,0.90206,0.92405,0.72137,0.50101,0.24529,0.89589,0.0039115,0.0039115,0.0039115
125,4234.02,0.47311,0.25982,0.9155,0.90502,0.90128,0.92435,0.72151,0.501,0.2449,0.89587,0.003862,0.003862,0.003862
126,4267.59,0.47345,0.26086,0.91361,0.90254,0.89877,0.92407,0.72077,0.50113,0.24434,0.89571,0.0038125,0.0038125,0.0038125
127,4301.15,0.4734,0.25944,0.91533,0.90237,0.8988,0.92399,0.72131,0.50124,0.24424,0.89565,0.003763,0.003763,0.003763
128,4334.78,0.47221,0.26012,0.91771,0.90426,0.90195,0.9244,0.72134,0.50118,0.2447,0.89556,0.0037135,0.0037135,0.0037135
129,4368.49,0.47311,0.25878,0.91584,0.90388,0.90181,0.92412,0.72065,0.50145,0.24474,0.89552,0.003664,0.003664,0.003664
130,4402.08,0.46722,0.25588,0.91519,0.90603,0.9036,0.92423,0.72092,0.50162,0.24484,0.89545,0.0036145,0.0036145,0.0036145
131,4435.8,0.46575,0.25324,0.91704,0.90552,0.90295,0.92439,0.72154,0.50169,0.24485,0.89559,0.003565,0.003565,0.003565
132,4469.6,0.46891,0.25678,0.91189,0.89885,0.89666,0.92133,0.72063,0.50165,0.24462,0.89505,0.0035155,0.0035155,0.0035155
133,4503.13,0.4711,0.25434,0.91312,0.90091,0.89861,0.9214,0.72115,0.50177,0.24465,0.89485,0.003466,0.003466,0.003466
134,4536.81,0.46808,0.25473,0.9154,0.90567,0.90109,0.92454,0.72211,0.50182,0.24424,0.89471,0.0034165,0.0034165,0.0034165
135,4570.3,0.46611,0.25181,0.91472,0.90566,0.90085,0.92464,0.72183,0.50201,0.2445,0.89475,0.003367,0.003367,0.003367
136,4603.8,0.46562,0.24998,0.91044,0.9026,0.89759,0.92149,0.72183,0.50217,0.24479,0.89478,0.0033175,0.0033175,0.0033175
137,4637.52,0.46495,0.25175,0.91047,0.90366,0.89728,0.92152,0.72195,0.50228,0.24493,0.89474,0.003268,0.003268,0.003268
138,4671.09,0.46354,0.25201,0.91386,0.90228,0.8985,0.92142,0.72189,0.50233,0.24536,0.89477,0.0032185,0.0032185,0.0032185
139,4704.71,0.46456,0.25309,0.91703,0.9053,0.89797,0.92214,0.72195,0.50246,0.24516,0.89478,0.003169,0.003169,0.003169
140,4738.53,0.46252,0.2499,0.90757,0.90488,0.8981,0.92216,0.72169,0.50252,0.24495,0.8945,0.0031195,0.0031195,0.0031195
141,4772,0.46302,0.25003,0.90886,0.90552,0.8977,0.92207,0.72208,0.50266,0.24533,0.89429,0.00307,0.00307,0.00307
142,4805.72,0.46059,0.25113,0.907,0.89346,0.90986,0.92243,0.72386,0.50259,0.24545,0.89386,0.0030205,0.0030205,0.0030205
143,4839.55,0.46109,0.24717,0.90798,0.89389,0.91106,0.92288,0.72303,0.50262,0.24569,0.89363,0.002971,0.002971,0.002971
144,4873.05,0.4576,0.24559,0.90869,0.89989,0.89975,0.92365,0.72366,0.5027,0.24566,0.89347,0.0029215,0.0029215,0.0029215
145,4906.76,0.45898,0.24679,0.91155,0.9032,0.90389,0.92703,0.72434,0.50265,0.24584,0.89349,0.002872,0.002872,0.002872
146,4940.25,0.45635,0.24592,0.91124,0.89933,0.90195,0.92233,0.72385,0.50279,0.24606,0.89348,0.0028225,0.0028225,0.0028225
147,4973.9,0.45674,0.24631,0.91165,0.89927,0.90205,0.92265,0.72513,0.5029,0.24616,0.89358,0.002773,0.002773,0.002773
148,5007.53,0.45644,0.24514,0.90973,0.89932,0.90198,0.92306,0.7252,0.503,0.24636,0.89369,0.0027235,0.0027235,0.0027235
149,5040.87,0.45468,0.24383,0.91024,0.89949,0.90223,0.92259,0.72567,0.50295,0.24662,0.89359,0.002674,0.002674,0.002674
150,5074.22,0.45954,0.246,0.90847,0.90034,0.90552,0.92272,0.72566,0.50312,0.24641,0.89374,0.0026245,0.0026245,0.0026245
151,5107.8,0.45363,0.24375,0.9068,0.90077,0.90422,0.92347,0.7248,0.50306,0.2463,0.89359,0.002575,0.002575,0.002575
152,5141.31,0.45529,0.24439,0.90704,0.9007,0.90194,0.92363,0.72523,0.50319,0.24644,0.89355,0.0025255,0.0025255,0.0025255
153,5174.92,0.45472,0.24418,0.90532,0.90035,0.90236,0.92416,0.72565,0.50333,0.24693,0.89342,0.002476,0.002476,0.002476
154,5208.42,0.45341,0.24157,0.9076,0.90151,0.90076,0.92404,0.72553,0.5034,0.24735,0.89329,0.0024265,0.0024265,0.0024265
155,5241.95,0.45339,0.24181,0.90909,0.90165,0.90052,0.92415,0.72557,0.50354,0.24805,0.89328,0.002377,0.002377,0.002377
156,5275.71,0.45223,0.24231,0.909,0.90723,0.90213,0.92411,0.72526,0.50368,0.24811,0.89315,0.0023275,0.0023275,0.0023275
157,5309.28,0.45004,0.23961,0.90598,0.90826,0.9025,0.92445,0.72528,0.50381,0.24815,0.89302,0.002278,0.002278,0.002278
158,5342.77,0.44959,0.23869,0.9073,0.90953,0.89965,0.92488,0.72521,0.50401,0.24812,0.89309,0.0022285,0.0022285,0.0022285
159,5376.38,0.44914,0.23906,0.90464,0.90355,0.90308,0.92434,0.72575,0.50405,0.24805,0.89292,0.002179,0.002179,0.002179
160,5409.92,0.44967,0.238,0.90374,0.90638,0.90288,0.92461,0.72577,0.50429,0.24792,0.89291,0.0021295,0.0021295,0.0021295
161,5443.45,0.4499,0.23963,0.90888,0.90609,0.90331,0.9246,0.7254,0.5043,0.24808,0.8929,0.00208,0.00208,0.00208
162,5477.08,0.4457,0.23819,0.90673,0.90631,0.90569,0.92623,0.72567,0.50427,0.24824,0.89298,0.0020305,0.0020305,0.0020305
163,5510.63,0.44552,0.23828,0.90771,0.90684,0.90591,0.92478,0.72641,0.5042,0.24853,0.89302,0.001981,0.001981,0.001981
164,5544.1,0.44741,0.23789,0.90862,0.90853,0.90594,0.9262,0.72627,0.50415,0.24854,0.89295,0.0019315,0.0019315,0.0019315
165,5577.76,0.44463,0.23467,0.90552,0.90913,0.90594,0.92683,0.72523,0.5042,0.24849,0.89296,0.001882,0.001882,0.001882
166,5611.33,0.44485,0.2349,0.90722,0.91054,0.90574,0.92733,0.72563,0.50427,0.24866,0.89305,0.0018325,0.0018325,0.0018325
167,5644.93,0.44557,0.23521,0.90839,0.9103,0.90566,0.92755,0.72567,0.50438,0.24857,0.89307,0.001783,0.001783,0.001783
168,5678.49,0.43943,0.23249,0.90129,0.91003,0.90561,0.92747,0.72616,0.50445,0.24839,0.89306,0.0017335,0.0017335,0.0017335
169,5712.21,0.44228,0.23348,0.90487,0.91001,0.90483,0.92758,0.72598,0.50445,0.24809,0.8931,0.001684,0.001684,0.001684
170,5745.88,0.44036,0.23178,0.90308,0.90903,0.90584,0.9277,0.72632,0.5044,0.24784,0.89306,0.0016345,0.0016345,0.0016345
171,5779.46,0.44042,0.23234,0.90393,0.90817,0.90568,0.92651,0.72569,0.50449,0.24801,0.89299,0.001585,0.001585,0.001585
172,5813.12,0.4417,0.23218,0.9068,0.90817,0.90552,0.92675,0.72567,0.50487,0.24844,0.89329,0.0015355,0.0015355,0.0015355
173,5846.91,0.43774,0.22863,0.90166,0.91096,0.90807,0.92763,0.72551,0.50469,0.24869,0.89303,0.001486,0.001486,0.001486
