epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,16531,0.81957,0.51798,1.01135,0.90924,0.89031,0.92976,0.72516,0.8957,0.50058,1.10098,0.004357,0.004357,0.004357
116,16675,0.82313,0.51682,1.01344,0.91661,0.88368,0.92952,0.7249,0.89609,0.49982,1.1014,0.0043075,0.0043075,0.0043075
117,16818.5,0.82018,0.51397,1.01299,0.91539,0.88425,0.92897,0.72471,0.89586,0.49996,1.1013,0.004258,0.004258,0.004258
118,16962.1,0.81437,0.5125,1.00857,0.91606,0.88406,0.92882,0.72462,0.89561,0.50056,1.10108,0.0042085,0.0042085,0.0042085
119,17105.4,0.81554,0.51195,1.01132,0.9151,0.88385,0.92907,0.72454,0.89659,0.50037,1.10221,0.004159,0.004159,0.004159
120,17248.6,0.81498,0.51007,1.00928,0.91369,0.88414,0.92881,0.72434,0.89678,0.50024,1.10232,0.0041095,0.0041095,0.0041095
121,17392.1,0.81271,0.51006,1.0098,0.90839,0.88641,0.92899,0.72484,0.89667,0.49999,1.10231,0.00406,0.00406,0.00406
122,17535.2,0.81395,0.5103,1.01058,0.91137,0.88405,0.92878,0.72479,0.89623,0.50033,1.10174,0.0040105,0.0040105,0.0040105
123,17678.5,0.80956,0.50608,1.00858,0.90452,0.89187,0.92856,0.72538,0.896,0.50107,1.10162,0.003961,0.003961,0.003961
124,17821.7,0.81028,0.5092,1.00644,0.90201,0.892,0.92844,0.72545,0.89653,0.50025,1.10255,0.0039115,0.0039115,0.0039115
125,17965.8,0.80807,0.50529,1.00889,0.90359,0.89114,0.92857,0.72621,0.89721,0.49991,1.10312,0.003862,0.003862,0.003862
126,18109,0.80826,0.50647,1.00559,0.91145,0.88281,0.92843,0.72648,0.89735,0.49915,1.10312,0.0038125,0.0038125,0.0038125
127,18253,0.80304,0.5028,1.00361,0.91155,0.8829,0.92841,0.72704,0.89767,0.4985,1.10339,0.003763,0.003763,0.003763
128,18396.1,0.80412,0.50272,1.0049,0.91124,0.88286,0.92819,0.72677,0.898,0.49872,1.10377,0.0037135,0.0037135,0.0037135
129,18539.3,0.80018,0.50007,1.00358,0.90995,0.88083,0.9281,0.72707,0.89837,0.49909,1.10454,0.003664,0.003664,0.003664
130,18682.6,0.79851,0.4995,1.00079,0.90949,0.88037,0.92809,0.72679,0.8982,0.49881,1.10402,0.0036145,0.0036145,0.0036145
131,18826.6,0.80009,0.49894,1.00402,0.91025,0.8796,0.92781,0.72661,0.89747,0.49863,1.1039,0.003565,0.003565,0.003565
132,18970.6,0.7963,0.49499,1.00103,0.90636,0.87989,0.92769,0.72726,0.89732,0.49909,1.10389,0.0035155,0.0035155,0.0035155
133,19114.2,0.79621,0.49256,1.00086,0.90691,0.88006,0.92749,0.72714,0.89685,0.49903,1.10386,0.003466,0.003466,0.003466
134,19257.6,0.79457,0.49427,1.0013,0.9072,0.88075,0.92722,0.727,0.89636,0.499,1.10387,0.0034165,0.0034165,0.0034165
135,19401.2,0.79226,0.49278,0.99868,0.9077,0.88201,0.92737,0.72771,0.89657,0.49922,1.10405,0.003367,0.003367,0.003367
136,19545.4,0.79075,0.49247,0.9987,0.90752,0.88215,0.92656,0.72669,0.89688,0.49985,1.10438,0.0033175,0.0033175,0.0033175
137,19688.8,0.78731,0.48716,0.99629,0.90595,0.88305,0.92648,0.72709,0.89688,0.49974,1.10444,0.003268,0.003268,0.003268
138,19832.1,0.78981,0.49053,0.99766,0.90568,0.88237,0.92623,0.72732,0.89654,0.49975,1.10443,0.0032185,0.0032185,0.0032185
139,19975.9,0.78646,0.48587,0.99785,0.90508,0.88368,0.92669,0.72728,0.89575,0.50032,1.10401,0.003169,0.003169,0.003169
140,20119.8,0.78419,0.48725,0.9955,0.9073,0.88106,0.92691,0.72781,0.89596,0.50029,1.10416,0.0031195,0.0031195,0.0031195
